iso3,country,disaggregation,disagg.value,region,subregion,section,anaemia_plan,blood_pressure_plan,BN_ODA_donated_2011,BN_ODA_donated_2012,BN_ODA_donated_2013,BN_ODA_donated_2014,BN_ODA_donated_2015,BN_ODA_donated_2016,BN_ODA_donated_2017,BN_ODA_donated_2018,BN_ODA_donated_2019,BN_ODA_donated_2020,BN_ODA_donated_percent_2011,BN_ODA_donated_percent_2012,BN_ODA_donated_percent_2013,BN_ODA_donated_percent_2014,BN_ODA_donated_percent_2015,BN_ODA_donated_percent_2016,BN_ODA_donated_percent_2017,BN_ODA_donated_percent_2018,BN_ODA_donated_percent_2019,BN_ODA_donated_percent_2020,BN_ODA_received_2011,BN_ODA_received_2012,BN_ODA_received_2013,BN_ODA_received_2014,BN_ODA_received_2015,BN_ODA_received_2016,BN_ODA_received_2017,BN_ODA_received_2018,BN_ODA_received_2019,BN_ODA_received_2020,BN_ODA_received_percent_2011,BN_ODA_received_percent_2012,BN_ODA_received_percent_2013,BN_ODA_received_percent_2014,BN_ODA_received_percent_2015,BN_ODA_received_percent_2016,BN_ODA_received_percent_2017,BN_ODA_received_percent_2018,BN_ODA_received_percent_2019,BN_ODA_received_percent_2020,child_ad_policy,child_overweight_plan,diabetes_plan,diabetes_policy,diarrhea_zinc_2005,diarrhea_zinc_2006,diarrhea_zinc_2007,diarrhea_zinc_2008,diarrhea_zinc_2009,diarrhea_zinc_2010,diarrhea_zinc_2011,diarrhea_zinc_2012,diarrhea_zinc_2013,diarrhea_zinc_2014,diarrhea_zinc_2015,diarrhea_zinc_2016,diarrhea_zinc_2017,diarrhea_zinc_2018,diarrhea_zinc_2019,diarrhea_zinc_2020,diarrhea_zinc_2021,EBF_plan,fbdg,iodised_salt_2000,iodised_salt_2001,iodised_salt_2002,iodised_salt_2003,iodised_salt_2004,iodised_salt_2005,iodised_salt_2006,iodised_salt_2007,iodised_salt_2008,iodised_salt_2009,iodised_salt_2010,iodised_salt_2011,iodised_salt_2012,iodised_salt_2013,iodised_salt_2014,iodised_salt_2015,iodised_salt_2016,iodised_salt_2017,iodised_salt_2018,iodised_salt_2019,iodised_salt_2020,iron_supp_2004,iron_supp_2005,iron_supp_2006,iron_supp_2007,iron_supp_2008,iron_supp_2009,iron_supp_2010,iron_supp_2011,iron_supp_2012,iron_supp_2013,iron_supp_2014,iron_supp_2015,iron_supp_2016,iron_supp_2017,iron_supp_2018,iron_supp_2019,iron_supp_2021,iron_tablets_2000,iron_tablets_2001,iron_tablets_2002,iron_tablets_2003,iron_tablets_2004,iron_tablets_2005,iron_tablets_2006,iron_tablets_2007,iron_tablets_2008,iron_tablets_2009,iron_tablets_2010,iron_tablets_2011,iron_tablets_2012,iron_tablets_2013,iron_tablets_2014,iron_tablets_2015,iron_tablets_2016,iron_tablets_2017,iron_tablets_2018,iron_tablets_2019,iron_tablets_2021,LBW_plan,multi_sec,NCD_policy,NCD_unhealthy,overweight_adults_adoles_plan,salt_leg,saturated_fatty_acids_policy,sodium_plan,sodium_policy,stunting_plan,sugar_tax,Total_ODA_donated_2011,Total_ODA_donated_2012,Total_ODA_donated_2013,Total_ODA_donated_2014,Total_ODA_donated_2015,Total_ODA_donated_2016,Total_ODA_donated_2017,Total_ODA_donated_2018,Total_ODA_donated_2019,Total_ODA_donated_2020,Total_ODA_received_2011,Total_ODA_received_2012,Total_ODA_received_2013,Total_ODA_received_2014,Total_ODA_received_2015,Total_ODA_received_2016,Total_ODA_received_2017,Total_ODA_received_2018,Total_ODA_received_2019,Total_ODA_received_2020,trans_fatty_acids_policy,vit_a_2000,vit_a_2001,vit_a_2002,vit_a_2003,vit_a_2004,vit_a_2005,vit_a_2006,vit_a_2007,vit_a_2008,vit_a_2009,vit_a_2010,vit_a_2011,vit_a_2012,vit_a_2013,vit_a_2014,vit_a_2015,vit_a_2016,vit_a_2017,vit_a_2018,vit_a_2019,vit_a_2020,wasting_plan
AFG,Afghanistan,all,,Asia,Southern Asia,Nutrition strategies and financing,Yes,No,,,,,,,,,,,,,,,,,,,,,1.96,7.36,20.59,15.67,16.76,16.6,29.34,34.92,44.43,19.11,0.03,0.11,0.41,0.32,0.36,0.37,0.72,0.9,0.99,0.45,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No response,Yes,Yes,No,Yes,No,Yes,No,,,,,,,,,,,6741.59,6514.5,5044.95,4920.33,4610.17,4459.45,4064.28,3889.77,4484.45,4262.75,No,,,,,,,,,,,,,,,,,,,,,,Yes
AFG,Afghanistan,education,Higher,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,education,None,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,9.4,,,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,education,Primary,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,10.5,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,education,Secondary,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,63.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,education,Secondary or higher,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,location,Rural,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,10.7,,,35.6,,,,,,,,,,,,,,,,,49.38,,,,47.91,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,location,Urban,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,6.5,,,40,,,,,,,,,,,,,,,,,78.5,,,,81.73,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,mothers_age,20-34,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,mothers_age,35-49,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
