iso3,country,disaggregation,disagg.value,region,subregion,section,190_percent_2002,190_percent_2003,190_percent_2004,190_percent_2005,190_percent_2006,190_percent_2007,190_percent_2008,190_percent_2009,190_percent_2010,190_percent_2011,190_percent_2012,190_percent_2013,190_percent_2014,190_percent_2015,190_percent_2016,190_percent_2017,190_percent_2018,190_percent_2019,190_percent_2020,190_percent_2021,190_percent_2022,320_percent_2002,320_percent_2003,320_percent_2004,320_percent_2005,320_percent_2006,320_percent_2007,320_percent_2008,320_percent_2009,320_percent_2010,320_percent_2011,320_percent_2012,320_percent_2013,320_percent_2014,320_percent_2015,320_percent_2016,320_percent_2017,320_percent_2018,320_percent_2019,320_percent_2020,320_percent_2021,320_percent_2022,65_years_2021,at_least_basic_sanitation_2000,at_least_basic_sanitation_2001,at_least_basic_sanitation_2002,at_least_basic_sanitation_2003,at_least_basic_sanitation_2004,at_least_basic_sanitation_2005,at_least_basic_sanitation_2006,at_least_basic_sanitation_2007,at_least_basic_sanitation_2008,at_least_basic_sanitation_2009,at_least_basic_sanitation_2010,at_least_basic_sanitation_2011,at_least_basic_sanitation_2012,at_least_basic_sanitation_2013,at_least_basic_sanitation_2014,at_least_basic_sanitation_2015,at_least_basic_sanitation_2016,at_least_basic_sanitation_2017,at_least_basic_sanitation_2018,at_least_basic_sanitation_2019,at_least_basic_sanitation_2020,at_least_basic_water_2000,at_least_basic_water_2001,at_least_basic_water_2002,at_least_basic_water_2003,at_least_basic_water_2004,at_least_basic_water_2005,at_least_basic_water_2006,at_least_basic_water_2007,at_least_basic_water_2008,at_least_basic_water_2009,at_least_basic_water_2010,at_least_basic_water_2011,at_least_basic_water_2012,at_least_basic_water_2013,at_least_basic_water_2014,at_least_basic_water_2015,at_least_basic_water_2016,at_least_basic_water_2017,at_least_basic_water_2018,at_least_basic_water_2019,at_least_basic_water_2020,basic_sanitation_2000,basic_sanitation_2001,basic_sanitation_2002,basic_sanitation_2003,basic_sanitation_2004,basic_sanitation_2005,basic_sanitation_2006,basic_sanitation_2007,basic_sanitation_2008,basic_sanitation_2009,basic_sanitation_2010,basic_sanitation_2011,basic_sanitation_2012,basic_sanitation_2013,basic_sanitation_2014,basic_sanitation_2015,basic_sanitation_2016,basic_sanitation_2017,basic_sanitation_2018,basic_sanitation_2019,basic_sanitation_2020,basic_water_2000,basic_water_2001,basic_water_2002,basic_water_2003,basic_water_2004,basic_water_2005,basic_water_2006,basic_water_2007,basic_water_2008,basic_water_2009,basic_water_2010,basic_water_2011,basic_water_2012,basic_water_2013,basic_water_2014,basic_water_2015,basic_water_2016,basic_water_2017,basic_water_2018,basic_water_2019,basic_water_2020,community_health_workers_2000,community_health_workers_2001,community_health_workers_2003,community_health_workers_2004,community_health_workers_2005,community_health_workers_2006,community_health_workers_2007,community_health_workers_2008,community_health_workers_2009,community_health_workers_2010,community_health_workers_2011,community_health_workers_2012,community_health_workers_2013,community_health_workers_2014,community_health_workers_2015,community_health_workers_2016,early_childbearing_prev_2000,early_childbearing_prev_2001,early_childbearing_prev_2002,early_childbearing_prev_2003,early_childbearing_prev_2004,early_childbearing_prev_2005,early_childbearing_prev_2006,early_childbearing_prev_2007,early_childbearing_prev_2008,early_childbearing_prev_2009,early_childbearing_prev_2010,early_childbearing_prev_2011,early_childbearing_prev_2012,early_childbearing_prev_2013,early_childbearing_prev_2014,early_childbearing_prev_2015,early_childbearing_prev_2016,early_childbearing_prev_2017,early_childbearing_prev_2018,early_childbearing_prev_2019,early_childbearing_prev_2020,early_childbearing_prev_2021,female_secondary_enroll_net_2016,female_secondary_enroll_net_2017,female_secondary_enroll_net_2018,female_secondary_enroll_net_2019,female_secondary_enroll_net_2020,female_secondary_enroll_net_2021,female_secondary_enroll_net_2022,GDP_capita_PPP_2011,GDP_capita_PPP_2012,GDP_capita_PPP_2013,GDP_capita_PPP_2014,GDP_capita_PPP_2015,GDP_capita_PPP_2016,GDP_capita_PPP_2017,GDP_capita_PPP_2018,GDP_capita_PPP_2019,GDP_capita_PPP_2020,GDP_capita_PPP_2021,GDP_capita_PPP_2022,gender_inequality_2021,gender_inequality_rank_2021,gini_2003,gini_2004,gini_2005,gini_2006,gini_2008,gini_2009,gini_2010,gini_2011,gini_2012,gini_2013,gini_2014,gini_2015,gini_2016,gini_2017,gini_2018,gini_2019,gini_2020,gini_2021,gini_rank_2003,gini_rank_2004,gini_rank_2005,gini_rank_2006,gini_rank_2008,gini_rank_2009,gini_rank_2010,gini_rank_2011,gini_rank_2012,gini_rank_2013,gini_rank_2014,gini_rank_2015,gini_rank_2016,gini_rank_2017,gini_rank_2018,gini_rank_2019,gini_rank_2020,gini_rank_2021,limited_sanitation_2000,limited_sanitation_2001,limited_sanitation_2002,limited_sanitation_2003,limited_sanitation_2004,limited_sanitation_2005,limited_sanitation_2006,limited_sanitation_2007,limited_sanitation_2008,limited_sanitation_2009,limited_sanitation_2010,limited_sanitation_2011,limited_sanitation_2012,limited_sanitation_2013,limited_sanitation_2014,limited_sanitation_2015,limited_sanitation_2016,limited_sanitation_2017,limited_sanitation_2018,limited_sanitation_2019,limited_sanitation_2020,limited_water_2000,limited_water_2001,limited_water_2002,limited_water_2003,limited_water_2004,limited_water_2005,limited_water_2006,limited_water_2007,limited_water_2008,limited_water_2009,limited_water_2010,limited_water_2011,limited_water_2012,limited_water_2013,limited_water_2014,limited_water_2015,limited_water_2016,limited_water_2017,limited_water_2018,limited_water_2019,limited_water_2020,nurses_and_midwives_2004,nurses_and_midwives_2008,nurses_and_midwives_2010,nurses_and_midwives_2012,nurses_and_midwives_2014,nurses_and_midwives_2015,nurses_and_midwives_2016,nurses_and_midwives_2017,nurses_and_midwives_2018,nurses_and_midwives_2019,open_defecation_2000,open_defecation_2001,open_defecation_2002,open_defecation_2003,open_defecation_2004,open_defecation_2005,open_defecation_2006,open_defecation_2007,open_defecation_2008,open_defecation_2009,open_defecation_2010,open_defecation_2011,open_defecation_2012,open_defecation_2013,open_defecation_2014,open_defecation_2015,open_defecation_2016,open_defecation_2017,open_defecation_2018,open_defecation_2019,open_defecation_2020,physicians_2001,physicians_2004,physicians_2009,physicians_2010,physicians_2011,physicians_2012,physicians_2013,physicians_2014,physicians_2015,physicians_2016,physicians_2017,physicians_2018,physicians_2019,population_2021,rural_percent_2020,safely_managed_sanitation_2000,safely_managed_sanitation_2001,safely_managed_sanitation_2002,safely_managed_sanitation_2003,safely_managed_sanitation_2004,safely_managed_sanitation_2005,safely_managed_sanitation_2006,safely_managed_sanitation_2007,safely_managed_sanitation_2008,safely_managed_sanitation_2009,safely_managed_sanitation_2010,safely_managed_sanitation_2011,safely_managed_sanitation_2012,safely_managed_sanitation_2013,safely_managed_sanitation_2014,safely_managed_sanitation_2015,safely_managed_sanitation_2016,safely_managed_sanitation_2017,safely_managed_sanitation_2018,safely_managed_sanitation_2019,safely_managed_sanitation_2020,safely_managed_water_2000,safely_managed_water_2001,safely_managed_water_2002,safely_managed_water_2003,safely_managed_water_2004,safely_managed_water_2005,safely_managed_water_2006,safely_managed_water_2007,safely_managed_water_2008,safely_managed_water_2009,safely_managed_water_2010,safely_managed_water_2011,safely_managed_water_2012,safely_managed_water_2013,safely_managed_water_2014,safely_managed_water_2015,safely_managed_water_2016,safely_managed_water_2017,safely_managed_water_2018,safely_managed_water_2019,safely_managed_water_2020,surface_water_2000,surface_water_2001,surface_water_2002,surface_water_2003,surface_water_2004,surface_water_2005,surface_water_2006,surface_water_2007,surface_water_2008,surface_water_2009,surface_water_2010,surface_water_2011,surface_water_2012,surface_water_2013,surface_water_2014,surface_water_2015,surface_water_2016,surface_water_2017,surface_water_2018,surface_water_2019,surface_water_2020,u5_pop_2021,u5mr_2000,u5mr_2001,u5mr_2002,u5mr_2003,u5mr_2004,u5mr_2005,u5mr_2006,u5mr_2007,u5mr_2008,u5mr_2009,u5mr_2010,u5mr_2011,u5mr_2012,u5mr_2013,u5mr_2014,u5mr_2015,u5mr_2016,u5mr_2017,u5mr_2018,u5mr_2019,u5mr_2020,undernourishment_prev_2001,undernourishment_prev_2002,undernourishment_prev_2003,undernourishment_prev_2004,undernourishment_prev_2005,undernourishment_prev_2006,undernourishment_prev_2007,undernourishment_prev_2008,undernourishment_prev_2009,undernourishment_prev_2010,undernourishment_prev_2011,undernourishment_prev_2012,undernourishment_prev_2013,undernourishment_prev_2014,undernourishment_prev_2015,undernourishment_prev_2016,undernourishment_prev_2017,undernourishment_prev_2018,unimproved_sanitation_2000,unimproved_sanitation_2001,unimproved_sanitation_2002,unimproved_sanitation_2003,unimproved_sanitation_2004,unimproved_sanitation_2005,unimproved_sanitation_2006,unimproved_sanitation_2007,unimproved_sanitation_2008,unimproved_sanitation_2009,unimproved_sanitation_2010,unimproved_sanitation_2011,unimproved_sanitation_2012,unimproved_sanitation_2013,unimproved_sanitation_2014,unimproved_sanitation_2015,unimproved_sanitation_2016,unimproved_sanitation_2017,unimproved_sanitation_2018,unimproved_sanitation_2019,unimproved_sanitation_2020,unimproved_water_2000,unimproved_water_2001,unimproved_water_2002,unimproved_water_2003,unimproved_water_2004,unimproved_water_2005,unimproved_water_2006,unimproved_water_2007,unimproved_water_2008,unimproved_water_2009,unimproved_water_2010,unimproved_water_2011,unimproved_water_2012,unimproved_water_2013,unimproved_water_2014,unimproved_water_2015,unimproved_water_2016,unimproved_water_2017,unimproved_water_2018,unimproved_water_2019,unimproved_water_2020
AFG,Afghanistan,all,,Asia,Southern Asia,Social determinants of nutrition,,,,,80.09,74.45,72.65,60.95,55.56,51.58,42.96,40.72,39.75,38.95,37.66,36.11,35.43,33.25,36.16,33.91,31.48,,,,,95.26,93.74,93.22,89.18,86.84,84.84,79.49,77.66,77.04,76.38,75.28,73.88,73.24,71.08,73.93,71.75,69.17,964.01,21.87,21.88,23.27,24.67,26.07,27.48,28.88,30.37,31.87,33.38,34.9,36.43,37.96,39.51,41.06,42.63,44.2,45.79,47.39,49.01,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.24,17.26,18.51,19.76,21.02,22.29,23.57,24.78,25.99,27.52,29.17,30.86,32.58,34.34,36.14,37.96,39.83,41.72,43.66,45.64,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,25.6,,,,20.4,,,,,,,28.74,29.99,31.31,,,,,2278.49,2513.14,2569.34,2555.97,2506.35,2492.65,2515.55,2392.42,2439.68,2328.76,,,0.68,167/170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65,5.66,6,6.34,6.69,7.05,7.41,7.69,7.96,8.23,8.5,8.76,9.01,9.26,9.5,9.73,9.95,10.18,10.39,10.6,10.94,3.66,3.66,3.95,4.24,4.52,4.81,5.1,5.06,4.99,4.88,4.74,4.56,4.35,4.11,3.83,3.51,3.16,2.78,2.36,1.91,1.45,,,,,,,,,0.45,,25.8,25.78,24.98,24.19,23.38,22.56,21.74,20.92,20.11,19.29,18.48,17.67,16.86,16.05,15.25,14.44,13.64,12.87,12.17,11.48,10.78,,,,,,,,,,0.28,,,,40099.46,73.97,,,,,,,,,,,,,,,,,,,,,,10.93,10.94,11.73,12.51,13.31,14.11,14.91,16.09,17.32,18.26,19.12,19.97,20.82,21.67,22.52,23.38,24.23,25.08,25.94,26.8,27.59,24.99,24.97,24.12,23.28,22.42,21.56,20.69,19.83,18.97,18.11,17.25,16.39,15.54,14.68,13.83,12.98,12.13,11.28,10.43,9.61,8.9,6490.55,,,,,,,,,,,,,,,,,,,,,,47.8,45.7,40.7,38.1,36.2,33.5,30,26.4,24.9,24.1,25,27.2,26.5,26.4,25.8,27.5,28.9,29.9,46.68,46.68,45.74,44.81,43.87,42.92,41.97,41.02,40.06,39.09,38.12,37.15,36.17,35.19,34.2,33.2,32.2,31.17,30.05,28.92,27.77,43.18,43.17,41.69,40.21,38.72,37.23,35.73,34.23,32.73,31.23,29.72,28.22,26.71,25.2,23.68,22.17,20.65,19.13,17.6,16.04,14.56
AFG,Afghanistan,sex,Both,Asia,Southern Asia,Social determinants of nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.18,125.19,121.06,116.91,112.63,108.38,104.12,99.89,95.72,91.68,87.76,83.97,80.34,76.87,73.6,70.45,67.49,64.83,62.34,60.14,57.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,sex,Boys,Asia,Southern Asia,Social determinants of nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.53,129.35,125.01,120.84,116.58,112.25,107.99,103.65,99.43,95.32,91.27,87.44,83.83,80.42,77.09,73.91,70.96,68.23,65.81,63.53,61.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,sex,Girls,Asia,Southern Asia,Social determinants of nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.63,120.79,116.89,112.69,108.53,104.38,100.1,95.92,91.81,87.87,84,80.28,76.68,73.22,69.88,66.73,63.8,61.15,58.73,56.4,54.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,all,,Africa,Middle Africa,Social determinants of nutrition,36.65,39.54,39.38,37.26,36.29,34.4,33.24,35.68,36.1,37.03,36.78,37.19,37.76,39.91,42.17,45.07,49.09,51.4,53,52.85,51.85,59.87,62.68,62.61,61.09,60.78,59.57,58.59,61.81,61.87,62.42,61.29,61.35,61.33,63.37,65.51,68.03,71.15,72.79,74,73.92,73.22,895.19,27.56,28.99,30.42,31.86,33.29,34.72,35.99,37.26,38.53,39.79,41.06,42.33,43.59,44.85,46.12,47.37,48.63,49.88,51.12,51.39,51.66,41.14,42.25,43.38,44.36,45.35,46.34,47.15,47.96,48.77,49.58,50.38,51.17,51.97,52.76,53.54,54.32,55.08,55.84,56.59,56.88,57.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,,,,,,,,,,,,,7836.71,8258.38,8415.1,8564,8392.09,7931.22,7675.54,7297.13,7034.84,6450.63,6303.55,6303.51,0.54,136/170,,,,,,,,,,,,,,,51.3,,,,,,,,,,,,,,,,,,155/163,,,,11.29,11.85,12.41,12.98,13.55,14.12,14.62,15.12,15.62,16.12,16.63,17.13,17.64,18.15,18.66,19.18,19.69,20.2,20.71,20.86,21,21.09,20.56,20.01,19.41,18.79,18.16,17.5,16.83,16.16,15.49,14.81,14.13,13.44,12.75,12.06,11.37,10.67,9.98,9.28,9.28,9.29,,,,,,,,,0.41,,42.87,41.41,39.95,38.49,37.01,35.53,34.25,32.96,31.67,30.37,29.07,27.77,26.46,25.15,23.84,22.53,21.23,19.92,18.68,18.32,17.97,,,,,,,,,,,0.21,,,34503.77,33.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,28.08,27.47,26.56,25.64,24.72,23.95,23.18,22.4,21.63,20.85,20.07,19.29,18.51,17.72,16.94,16.16,15.39,14.61,14.35,14.09,5983.41,,,,,,,,,,,,,,,,,,,,,,67.5,63.2,58.7,55.1,52.2,49.4,46.2,43,40.3,37.9,37,35.4,29.2,23.1,19,19.5,19.4,18.6,18.28,17.74,17.21,16.68,16.15,15.62,15.14,14.66,14.19,13.71,13.24,12.77,12.3,11.84,11.38,10.92,10.46,10,9.49,9.43,9.37,9.07,9.11,9.14,9.67,10.22,10.78,11.4,12.03,12.66,13.31,13.97,14.63,15.3,15.98,16.67,17.37,18.08,18.8,19.52,19.48,19.45
AGO,Angola,sex,Both,Africa,Middle Africa,Social determinants of nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.36,198.38,191.55,183.84,175.09,166.07,156.4,147.02,137.69,128.71,120.36,112.51,105.08,98.53,92.87,88.05,84.08,80.63,77.32,74.22,71.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,sex,Boys,Africa,Middle Africa,Social determinants of nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.57,209.39,202.19,194.14,185.22,175.79,165.98,156.08,146.47,137.13,128.29,120.13,112.22,105.4,99.58,94.41,90.2,86.5,83.13,80.14,77.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,sex,Girls,Africa,Middle Africa,Social determinants of nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.64,186.87,180.19,172.83,164.5,155.73,146.35,137.47,128.45,119.85,111.87,104.5,97.3,91.26,85.89,81.62,77.62,74.29,71.2,68.13,65.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,all,,Europe,Southern Europe,Social determinants of nutrition,1.57,1.12,1.05,0.86,0.64,0.44,0.31,0.42,0.61,0.69,0.85,1.21,1.58,1.13,0.86,1.27,1.14,0.87,1.11,0.86,0.72,14.13,11.19,10.41,8.72,7.77,6.51,5.29,5.53,5.49,5.69,6.18,9.28,11.62,8.2,9.42,8.19,7.23,6.6,7.14,6.32,5.54,463.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.25,49.51,49.8,50.08,50.35,50.45,50.53,50.61,50.7,50.79,50.88,50.96,51.06,51.14,51.23,51.32,51.41,51.5,51.58,51.61,51.61,37.62,37.82,38.47,39.1,37.79,36.44,35.05,33.62,32.15,30.63,29.08,27.48,25.85,24.17,22.46,22.8,23.14,23.47,23.78,24.09,24.39,,,,,,,,,,,,,,,,,,,,,,3.5,,,,2.5,,,,,,,,,2.6,,,,85.18,87.27,85.32,85.15,84.9,88.61,,11327.4,11506.95,11643.57,11874.74,12173.62,12597.3,13039.7,13570.55,13862.63,13394.46,14563.52,14888.76,0.14,39/170,,,,,,,,,,,,,,,,30.8,,,,,,,,,,,,,,,,,,34/163,,,1.83,1.84,1.85,1.86,1.87,1.8,1.73,1.66,1.58,1.5,1.43,1.35,1.26,1.18,1.1,1.01,0.93,0.84,0.75,0.66,0.57,9.78,9.68,9.19,8.71,8.24,7.78,7.32,6.88,6.44,6.01,5.59,5.18,4.78,4.38,4,3.63,3.26,2.9,2.56,2.22,1.88,,,,,,,,,,5.09,0.89,0.84,0.78,0.73,0.68,0.62,0.57,0.52,0.47,0.42,0.38,0.33,0.28,0.24,0.14,0.11,0.08,0.05,0,0,0,,,,,,,,,,,,,1.65,2854.71,37.89,40.24,40.52,40.81,41.09,41.36,41.88,42.39,42.89,43.38,43.84,44.3,44.73,45.15,45.56,45.95,46.33,46.7,47.05,47.39,47.58,47.69,49.14,49.08,48.98,48.89,50.72,52.58,54.47,56.38,58.33,60.3,62.3,64.33,66.38,68.46,70.56,70.59,70.62,70.64,70.65,70.67,70.67,0.92,0.85,0.77,0.69,0.62,0.54,0.47,0.41,0.34,0.28,0.22,0.16,0.1,0.05,0,0,0,0,0,0,0,141.39,,,,,,,,,,,,,,,,,,,,,,5,6.1,7.5,8.7,8.9,8.8,8.3,7.3,6,5,4.1,3.5,3.9,4.5,4.9,4.5,3.9,3.6,7.8,7.29,6.76,6.24,5.74,5.25,4.78,4.32,3.87,3.44,3.03,2.63,2.24,1.87,1.57,1.22,0.88,0.56,0.27,0.15,0.13,2.54,2.57,2.59,2.61,2.63,2.66,2.68,2.71,2.74,2.78,2.81,2.85,2.89,2.93,2.98,2.98,2.98,2.99,3.01,3.03,3.05
ALB,Albania,sex,Both,Europe,Southern Europe,Social determinants of nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.22,25.83,24.42,22.96,21.46,19.98,18.53,17.12,15.76,14.47,13.26,12.15,11.18,10.42,9.89,9.56,9.42,9.42,9.53,9.69,9.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
